  8.000000	104708150.746020	104708150.746020	  0.000000
  8.015625	103544198.127705	103487917.631247	56280.496458
  8.031250	102380218.852915	102276670.411115	103548.441800
  8.046875	101216349.031243	101074710.044972	141638.986271
  8.062500	100052729.525316	99882334.961664	170394.563652
  8.078125	98889506.211858	98699840.944592	189665.267266
  8.093750	97726830.259283	97527521.018262	199309.241020
  8.109375	96564858.422943	96365665.336412	199193.086532
  8.125000	95403753.359196	95214561.071730	189192.287466
  8.140625	94243683.959529	94074492.307255	169191.652274
  8.156250	93084825.706090	92945739.929481	139085.776609
  8.171875	91927361.049996	91828581.523229	98779.526767
  8.187500	90771479.813936	90723291.268343	48188.545593
  8.203125	89617379.620596	89630139.838235	12760.217639
  8.218750	88465266.348582	88549394.300350	84127.951768
  8.234375	87315354.617553	87481318.018587	165963.401034
  8.250000	86167868.304367	86426170.557715	258302.253348
  8.265625	85023041.092128	85384207.589832	361166.497705
  8.281250	83881117.054075	84355680.802918	474563.748844
  8.296875	82742351.274322	83340837.811506	598486.537184
  8.312500	81607010.507500	82339922.069520	732911.562020
  8.328125	80475373.879382	81353172.785322	877798.905940
  8.343750	79347733.630583	80380824.838992	1033091.208409
  8.359375	78224395.905402	79423108.701891	1198712.796489
  8.375000	77105681.587821	78480250.358529	1374568.770708
  8.390625	75991927.186578	77552471.230780	1560544.044202
  8.406250	74883485.771073	76639988.104469	1756502.333396
  8.421875	73780727.959648	75743013.058360	1962285.098712
  8.437500	72684042.961492	74861753.395584	2177710.434092
  8.453125	71593839.673016	73996411.577521	2402571.904506
  8.468750	70510547.829021	73147185.160168	2636637.331147
  8.484375	69434619.208370	72314266.733015	2879647.524644
  8.500000	68366528.893008	59592179.184113	8774349.708895
  8.515625	67306776.578211	58756613.681445	8550162.896766
  8.531250	66255887.930704	57939162.502949	8316725.427755
  8.546875	65214415.989789	57140070.350064	8074345.639724
  8.562500	64182942.604842	56359576.665337	7823365.939506
  8.578125	63162079.900440	55597915.522480	7564164.377960
  8.593750	62152471.757819	54855315.518914	7297156.238905
  8.609375	61154795.298493	54131999.670842	7022795.627651
  8.625000	60169762.352413	53428185.310915	6741577.041497
  8.640625	59198120.889173	52744083.988552	6454036.900622
  8.656250	58240656.386328	52079901.372952	6160755.013376
